StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q2_67_TEXT,Q20,Q20_21_TEXT,Q16,Q16_42_TEXT,Q17,Q19,Q19_9_TEXT,Q18,Q18_6_TEXT,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q4_First Click,Q4_Last Click,Q4_Page Submit,Q4_Click Count,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6_First Click,Q6_Last Click,Q6_Page Submit,Q6_Click Count,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count
9/15/2020 22:53,9/15/2020 22:59,IP Address,76.21.121.51,100,376,TRUE,9/15/2020 22:59,R_2Tw1AWnJRrPAWFm,,,,,37.43710327,-121.895401,anonymous,EN,Analyst,,Legal Services,,"San Jose, CA",,Male,Mathematics,,China,,Disagree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,9.427,68.475,74.756,11,Disagree,Neutral,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,8.599,50.568,51.609,11,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,4.283,53.932,54.882,11,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,3.703,50.652,60.7,13,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Agree,Somewhat Agree,4.479,49.086,50.644,11
9/15/2020 22:54,9/15/2020 23:01,IP Address,72.193.105.88,100,429,TRUE,9/15/2020 23:01,R_3R1OCPUtonjONCA,,,,,36.12199402,-115.0859985,anonymous,EN,Other,"Combination of BI, data science and consultant",Hospitality,,Other,Las Vegas,Female,Other,Hospitality,China,,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Agree,Neutral,7.076,51.472,52.685,13,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,6.104,35.295,37.283,11,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Neutral,Somewhat Agree,4.717,80.083,81.512,15,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,1.908,43.56,44.678,21,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,3.52,32.26,33.484,13
9/15/2020 22:59,9/15/2020 23:02,IP Address,73.231.233.4,100,208,TRUE,9/15/2020 23:02,R_bfJihAY03G78RRn,,,,,37.2808075,-121.9571991,anonymous,EN,Analyst,,Finance,,,,Male,Engineering,,India,,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Agree,0.875,34.345,35.12,18,Disagree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Agree,5.601,36.92,37.62,17,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,3.456,39.314,40.1,22,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Neutral,3.41,32.667,33.371,20,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,2.352,29.399,29.816,18
9/15/2020 22:55,9/15/2020 23:03,IP Address,184.146.174.132,100,438,TRUE,9/15/2020 23:03,R_3CBMUPOv676ZSS1,,,,,43.41029358,-80.50379944,anonymous,EN,Data Scientist/Engineer,,Finance,,Other,,Male,Other,,India,,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,37.935,124.03,128.028,17,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,2.804,39.399,40.605,14,Neutral,Somewhat Agree,Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,26.727,55.811,57.279,14,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Neutral,Disagree,Somewhat Disagree,Disagree,3.393,56.583,57.503,15,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Disagree,Agree,Agree,2.006,21.979,23.021,14
9/15/2020 23:03,9/15/2020 23:06,IP Address,71.237.209.165,100,202,TRUE,9/15/2020 23:06,R_12u33jurnBmHRMn,,,,,45.48049927,-122.6362991,anonymous,EN,Other,Product Marketing Manager,Technology,,Other,Portland,Female,"Engineering,Other Business",,India,,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,6.865,30.62,31.601,11,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,7.141,28.255,29.225,12,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,2.697,33.128,34.146,10,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,4.689,18.543,20.398,9,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,2.005,26.17,27.221,11
9/15/2020 22:59,9/15/2020 23:08,IP Address,73.231.178.171,100,560,TRUE,9/15/2020 23:08,R_3ER3n42kStRASjc,,,,,37.38589478,-122.0881958,anonymous,EN,Analyst,,Hospitality,,"San Jose, CA",,Male,Engineering,,India,,Neutral,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,11.284,104.825,106.062,14,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Agree,Agree,6.683,81.311,82.071,14,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,4.945,87.324,88.894,16,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,4.809,92.623,93.631,19,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Disagree,Neutral,Neutral,4.729,66.787,70.991,14
9/15/2020 23:10,9/15/2020 23:15,IP Address,73.76.218.131,100,283,TRUE,9/15/2020 23:15,R_2PvYnHNrkknYrO2,,,,,29.8117981,-95.50879669,anonymous,EN,Business Intelligence,,Construction,,Other,"Houston, TX",Male,Other,Construction Management,China,,Neutral,Disagree,Agree,Neutral,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,7.97,54.14,55.319,22,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,5.14,34.992,35.938,18,Somewhat Agree,Neutral,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,2.92,45.573,46.586,23,Somewhat Disagree,Agree,Neutral,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,2.459,22.845,24.24,20,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Neutral,Agree,Agree,2.109,34.828,35.99,19
9/15/2020 23:27,9/15/2020 23:32,IP Address,66.253.158.34,100,309,TRUE,9/15/2020 23:32,R_2YGuFPWQAjHO2P0,,,,,40.44439697,-86.92559814,anonymous,EN,Other,Product Manager,Finance,,"Atlanta, GA",,Male,Engineering,,India,,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Disagree,Agree,Neutral,Somewhat Agree,Neutral,12.588,68.655,69.418,11,Disagree,Agree,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,3.749,33.897,36.11,11,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,6.512,36.405,37.261,10,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,2.433,46.584,47.348,10,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,3.585,24.069,24.974,10
9/15/2020 23:29,9/15/2020 23:32,IP Address,69.174.156.220,100,222,TRUE,9/15/2020 23:32,R_3fC3qfvmZhi0Tzg,,,,,40.44439697,-86.92559814,anonymous,EN,Business Intelligence,,Healthcare,,"Boston, MA",,Female,Engineering,,India,,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,3.524,45.544,47.368,18,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Disagree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,2.047,26.512,27.641,17,Neutral,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,1.191,31.043,32.202,20,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,12.377,49.048,50.89,27,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,1.925,23.044,24.252,19
9/15/2020 23:11,9/15/2020 23:34,IP Address,171.84.6.142,100,1351,TRUE,9/15/2020 23:34,R_2R4l61MiEkB1iXH,,,,,39.92880249,116.3888855,anonymous,EN,Analyst,,Finance,,China,,Male,Finance,,China,,Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,12.411,109.369,111.066,22,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,8.469,116.819,118.138,19,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Neutral,10.971,108.071,108.907,24,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,11.639,48.017,49.269,18,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,6.339,42.863,43.552,18
9/15/2020 23:30,9/15/2020 23:35,IP Address,161.167.234.59,100,322,TRUE,9/15/2020 23:35,R_1Fh2SZpEuA6uw1C,,,,,34.05439758,-118.2440033,anonymous,EN,Other,Product Manager,Other,Retail,"San Jose, CA",,Male,Engineering,,India,,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,6.659,33.125,34.024,11,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,3.495,22.726,23.428,12,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,2.952,28.527,29.531,10,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Disagree,Somewhat Disagree,Disagree,Disagree,Neutral,3.195,24.055,25.486,10,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,2.945,127.407,128.598,11
9/15/2020 23:31,9/15/2020 23:35,IP Address,69.136.107.0,100,233,TRUE,9/15/2020 23:35,R_2rJCmtIExCJCzIF,,,,,40.71820068,-74.04759979,anonymous,EN,Consultant,,Consulting,,"New York, NY",,Female,Engineering,,India,,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Disagree,Agree,Disagree,10.2,40.252,42.55,11,Disagree,Agree,Somewhat Disagree,Agree,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,19.731,39.158,40.715,10,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,4.472,31.326,32.43,12,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,3.912,25.972,26.983,13,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Neutral,Agree,Neutral,Somewhat Agree,Neutral,28.002,51.081,52.655,11
9/16/2020 0:07,9/16/2020 0:13,IP Address,66.253.158.26,100,332,TRUE,9/16/2020 0:13,R_XYsOQitooCx3qjT,,,,,40.44439697,-86.92559814,anonymous,EN,Data Scientist/Engineer,,Energy,,Other,"Waltham, MA",Male,Computer Science,,India,,Neutral,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,7.599,58.229,59.951,13,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Agree,Somewhat Agree,Neutral,4.483,44.38,45.321,13,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Neutral,Disagree,Somewhat Agree,Disagree,Disagree,Neutral,6.364,63.898,64.958,13,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Neutral,Disagree,Disagree,Somewhat Agree,Disagree,4.607,30.555,31.62,16,Neutral,Neutral,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Disagree,Agree,Somewhat Agree,3.773,37.283,39.88,15
9/16/2020 0:10,9/16/2020 0:25,IP Address,66.253.158.23,100,886,TRUE,9/16/2020 0:25,R_1K9g6EAjYs8eziG,,,,,40.44439697,-86.92559814,anonymous,EN,Other,Unplaced still,Other,previous work ex- Manufacturing,Other,,Male,Engineering,,India,,Somewhat Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,18.478,196.128,198.1,10,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,27.743,100.129,102.511,10,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Somewhat Disagree,Somewhat Agree,10.339,164.936,166.596,11,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,4.093,36.8,39.176,10,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,13.044,115.433,117.596,10
9/15/2020 22:41,9/16/2020 1:00,IP Address,103.7.29.6,100,8382,TRUE,9/16/2020 1:00,R_1It0ug9Q8DYyIkc,,,,,22.25,114.166687,anonymous,EN,Business Intelligence,,Technology,,China,,Male,Other Business,,China,,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,12.183,56.732,57.656,23,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,7.658,46.257,46.291,18,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat Agree,Agree,Agree,1.301,32.087,32.011,20,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,5.63,31.881,32.663,18,Somewhat Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat Agree,Agree,Agree,22.252,49.284,50.01,22
9/16/2020 0:56,9/16/2020 1:02,IP Address,218.233.153.155,100,357,TRUE,9/16/2020 1:02,R_2RQwO7KuMqMag6f,,,,,37.39070129,126.916687,anonymous,EN,Analyst,,Government,,Other,"Shanghai&Guiyang, China",Male,Other,Business Data Analytics,China,,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Agree,Disagree,13.076,61.081,61.951,19,Neutral,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,6.441,42.384,43.412,16,Somewhat Agree,Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,4.576,42.048,43.231,15,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Disagree,4.659,34.896,34.932,15,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,2.838,42.431,43.082,16
9/16/2020 1:10,9/16/2020 1:15,IP Address,139.180.246.196,100,258,TRUE,9/16/2020 1:15,R_3DqkRcRuICGOU6Y,,,,,39.96530151,-83.02349854,anonymous,EN,Data Scientist/Engineer,,Other,Retail,"Cincinnati, OH",,Male,Mathematics,,India,,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,11.946,61.008,61.816,11,Agree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,4.463,45.231,45.662,16,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,6.039,46.703,47.065,11,Agree,Neutral,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,1.985,35.713,36.698,12,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,5.858,46.292,46.757,11
9/16/2020 1:07,9/16/2020 1:16,IP Address,161.69.123.10,100,563,TRUE,9/16/2020 1:16,R_2YsksNUgOmb2beq,,,,,40.71260071,-74.00659943,anonymous,EN,Data Scientist/Engineer,,Other,Retail,"San Bruno, CA",,Female,Engineering,,India,,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,10.557,114.275,117.707,12,Disagree,Neutral,Disagree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,5.01,39.629,40.917,10,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,6.665,115.901,116.912,20,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,4.17,86.825,95.199,13,Neutral,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Agree,4.097,50.992,53.847,16
9/16/2020 2:31,9/16/2020 2:39,IP Address,140.207.23.91,100,440,TRUE,9/16/2020 2:39,R_tDnY4l1m9KVcJ4l,,,,,31.04490662,121.4012146,anonymous,EN,Data Scientist/Engineer,,Technology,,China,,Female,Accounting,,China,,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Neutral,Somewhat Agree,9.611,77.755,78.974,14,Somewhat Disagree,Neutral,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,7.547,39.881,40.715,14,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,2.26,92.918,94.225,21,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,1.226,50.676,53.467,17,Neutral,Disagree,Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,3.058,52.168,53,12
9/16/2020 4:05,9/16/2020 4:19,IP Address,64.64.247.10,100,814,TRUE,9/16/2020 4:19,R_3nGCtXhhuuVHYtM,,,,,34.0493927,-118.2640991,anonymous,EN,Consultant,,Finance,,Other,"Shanghai, China",Male,Mathematics,,China,,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,17.586,43.238,43.996,12,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,1.591,68.574,68.631,17,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,8.983,78.788,79.684,14,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,0.607,37.645,37.952,16,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,21.646,62.53,63.338,19
9/16/2020 5:45,9/16/2020 5:50,IP Address,172.98.130.194,100,286,TRUE,9/16/2020 5:50,R_1JXymxYelz0ketV,,,,,39.67570496,-86.06939697,anonymous,EN,Data Scientist/Engineer,,Finance,,"Indianapolis, IN",,Male,"Finance,Other",Statistics,Other,Taiwan,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,6.182,47.608,61.216,10,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,5.77,34.627,35.513,10,Somewhat Agree,Neutral,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,5.912,45.582,62.615,10,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,3.711,35.565,39.673,10,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,5.519,34.633,35.586,12
9/16/2020 5:53,9/16/2020 5:57,IP Address,173.230.65.96,100,238,TRUE,9/16/2020 5:57,R_UQOP6NHoR1nDjMJ,,,,,40.73620605,-74.04219818,anonymous,EN,Data Scientist/Engineer,,Finance,,Prefer to not respond,,Male,Engineering,,India,,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,8.978,45.72,47.102,10,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,4.12,36.165,37.401,11,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,4.587,32.9,35.98,10,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,4.693,24.782,26.597,10,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,5.085,24.233,25.771,10
9/16/2020 5:52,9/16/2020 5:59,IP Address,69.174.156.220,100,365,TRUE,9/16/2020 5:59,R_1mxa13WlMTgLUE7,,,,,40.44439697,-86.92559814,anonymous,EN,Analyst,,Other,Gaming,"Los Angeles, CA",,Male,Engineering,,India,,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,7.984,48.326,49.217,14,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,10.903,65.699,66.384,13,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,10.806,53.628,54.628,13,Disagree,Somewhat Agree,Neutral,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,3.901,36.812,39.633,14,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,17.309,79.156,80.801,19
